Response_ID,Department,Tenure_Years,Role_Level,Engagement_Score,Manager_Score,Growth_Score,Culture_Score,Workload_Score,Recommend_Company,Open_Feedback
1,Engineering,3,Individual Contributor,4.2,4.5,3.8,4.0,3.2,Yes,Good opportunities for learning but workload has increased significantly this quarter
2,Engineering,7,Senior,3.8,4.2,3.5,4.2,2.8,Yes,Love the team but burnout is becoming a real concern
3,Engineering,1,Individual Contributor,4.5,4.8,4.5,4.3,3.8,Yes,Great onboarding experience and supportive manager
4,Sales,5,Manager,3.5,3.8,3.2,3.8,2.5,Maybe,Targets feel unrealistic given market conditions
5,Sales,2,Individual Contributor,4.0,4.3,4.0,3.9,3.0,Yes,Commission structure is fair and team is collaborative
6,Sales,8,Senior,3.2,3.5,2.8,3.5,2.2,Maybe,Recognition for long tenure doesn't match the expectations
7,Marketing,4,Individual Contributor,4.3,4.6,4.2,4.5,3.5,Yes,Creative freedom and good leadership
8,Marketing,2,Individual Contributor,4.1,4.4,4.0,4.3,3.3,Yes,Would like more budget for campaigns but otherwise happy
9,Marketing,6,Manager,3.9,4.0,3.6,4.1,2.9,Yes,Cross-functional collaboration could be better
10,Operations,10,Senior,3.4,3.2,2.5,3.6,2.4,Maybe,Feel overlooked for promotions despite experience
11,Operations,3,Individual Contributor,4.0,4.2,3.8,3.8,3.0,Yes,Process improvements have made work more efficient
12,Operations,5,Manager,3.6,3.5,3.0,3.7,2.6,Maybe,Need more resources to meet growing demands
13,Finance,7,Senior,3.7,4.0,3.3,3.9,2.7,Yes,Stable but limited career progression
14,Finance,2,Individual Contributor,4.4,4.7,4.3,4.2,3.6,Yes,Great mentorship program
15,Finance,4,Manager,3.8,3.9,3.4,4.0,2.8,Yes,Month-end crunch is challenging but team is supportive
16,HR,5,Manager,4.1,4.3,3.9,4.4,3.1,Yes,Proud of our culture initiatives
17,HR,1,Individual Contributor,4.6,4.9,4.6,4.6,3.9,Yes,Everyone has been so welcoming
18,Engineering,4,Individual Contributor,3.9,4.1,3.7,3.9,2.7,Yes,Technical challenges are interesting but deadlines are tight
19,Engineering,6,Manager,3.6,3.8,3.3,3.8,2.4,Maybe,Hiring freeze making it hard to deliver
20,Engineering,2,Individual Contributor,4.3,4.6,4.2,4.1,3.4,Yes,Good tech stack and smart colleagues
21,Sales,3,Individual Contributor,3.8,4.1,3.6,3.7,2.6,Maybe,CRM could be better but team makes up for it
22,Sales,9,Senior,3.1,3.3,2.6,3.4,2.1,No,Feeling burned out after 9 years of quota pressure
23,Sales,1,Individual Contributor,4.4,4.7,4.4,4.0,3.5,Yes,Great training program for new hires
24,Product,4,Individual Contributor,4.2,4.4,4.0,4.3,3.2,Yes,Good balance of autonomy and guidance
25,Product,6,Senior,3.7,3.9,3.4,4.0,2.8,Yes,Would like more user research resources
26,Product,2,Manager,4.0,4.2,3.8,4.1,3.0,Yes,Fast-paced but rewarding
27,Customer Success,3,Individual Contributor,4.1,4.4,3.9,4.2,3.1,Yes,Customers appreciate our support
28,Customer Success,5,Manager,3.7,3.8,3.4,3.9,2.5,Maybe,Team is understaffed for customer volume
29,Customer Success,1,Individual Contributor,4.5,4.8,4.5,4.4,3.7,Yes,Supportive environment for learning
30,Engineering,5,Senior,3.5,3.7,3.1,3.7,2.3,Maybe,Technical debt is slowing us down
31,Engineering,3,Individual Contributor,4.1,4.3,3.9,4.0,3.0,Yes,Good engineering culture
32,Engineering,8,Manager,3.4,3.5,2.8,3.6,2.2,Maybe,Need more headcount to execute roadmap
33,Sales,4,Manager,3.6,3.7,3.2,3.6,2.4,Maybe,Comp plan changes caused some frustration
34,Sales,2,Individual Contributor,4.2,4.5,4.1,3.9,3.2,Yes,Learning a lot from senior reps
35,Marketing,3,Individual Contributor,4.4,4.6,4.3,4.5,3.5,Yes,Creative team with good leadership
36,Marketing,7,Senior,3.6,3.8,3.2,4.0,2.6,Yes,Want more strategic influence
37,Operations,2,Individual Contributor,4.2,4.5,4.1,4.0,3.3,Yes,Clear processes make work manageable
38,Operations,6,Manager,3.5,3.4,2.9,3.5,2.3,Maybe,Budget constraints limiting improvements
39,Finance,3,Individual Contributor,4.3,4.5,4.1,4.1,3.4,Yes,Good work-life balance outside close periods
40,Finance,8,Senior,3.5,3.7,3.0,3.8,2.5,Maybe,Same role for too long without advancement

